"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"NEIL1",0.290936302383467,0.480579580631921,0.0231264725219747,8.69971862443086,1.42754801129711,0.245876733742552
"NEIL2",0.150726772589473,-0.253405750653974,0.0927691010288498,8.79637432191695,1.46863834573667,0.228994794918392
"NEK1",0.37345682752442,0.174230074410433,-0.137142231123876,8.66586435732322,0.35515548101072,0.785668595850411
"NEK4",-0.214807268286637,0.526454182453923,0.708162422537119,8.68865588194926,4.09563160891926,0.0117499577646977
"NEK6",-0.41747359638368,-0.610277634190872,0.109350883442704,8.70212025733511,1.69647539109187,0.178978458287691
"NEK9",-0.121703252187295,-0.252336183343934,0.0322599346931242,8.67163372983589,0.110315243625233,0.953555068489701
"NELFA",-0.383842827663593,-0.193944473200349,0.265600322148188,8.76048137092078,3.3431692421791,0.0243805300167633
"NELFB",0.0649665019826129,0.00305283451681788,-0.263260693215949,8.94000301269585,2.67688968674509,0.0512927229490691
"NELFCD",0.0279699805946623,0.112322451049473,0.0716224585906873,8.77546032137221,0.148484546409637,0.9303558391053
"NELFE",0.145579367965189,0.415198575451481,-0.189827621859102,8.86616124428053,2.22166887186093,0.0903722729187268
"NELL1",0.183317316662017,-0.0491658576625654,-0.676820652517647,8.90736908781642,2.12886134959022,0.102512845724258
"NELL2",0.120194518881405,-0.274607197945071,-0.453399450971622,10.6106230170568,3.9558482397082,0.0116507494343122
"NEMF",0.376208815406635,0.669350699202737,-0.236566068748916,8.87208447130858,2.89785586111633,0.0389429211905754
"NENF",0.0353532273944923,0.64003967739287,0.486551514592825,9.28039907401088,8.42000375464548,4.65351918467651e-05
"NEO1",-0.452506512351435,0.106615984821396,0.67967937919344,9.00009250058448,3.80122913327843,0.013645853542087
"NEPRO",0.129839279129537,0.130133988427396,-0.258898709471965,8.66411312912156,2.60181656169385,0.0671907206146666
"NES",0.928265754731182,0.8409746168088,1.23899230723018,8.68881173716815,7.32864684128024,0.000674931225831052
"NET1",-0.231416842330126,1.12283244368757,-0.205340922765733,8.78003740284661,2.36053789057964,0.0799850915752241
"NETO1",-0.135081204997095,0.0134013505296681,0.0723071342897957,8.7361464094367,0.0809743661268817,0.970131575134959
"NETO2",0.268216972924073,0.856254221784269,-0.23659582248344,9.08135676292362,1.69818973454638,0.174866885011974
"NEU1",0.236347839940664,-0.0724091947868678,-0.40841633277661,8.74329602614608,3.34217068836053,0.0241622857891274
"NEURL1",-0.280211478033662,-0.571629601361375,-0.568830575016689,8.75401043276997,1.99112895435019,0.125104303014775
"NEURL1B",-0.414518804088884,-0.961351832000343,-0.294420696445019,8.75470605995497,0.188818223150741,0.903583864465982
"NEURL4",-0.157131510195836,0.0154405019241476,0.142833330618873,8.671920931281,0.636747520291984,0.595882048096427
"NEUROD2",1.93278998121856,1.6941566848451,0.733585369551734,9.63694694141619,13.968297144245,2.31657269539029e-07
"NEUROD6",-0.210446511802908,-0.535567212023073,-0.224949499450959,9.61629676054458,0.486073620328492,0.692852061641558
"NEXMIF",-0.252362845473482,-0.777948821884411,-0.115964908484747,8.86238025610106,2.12461051306111,0.106562109627314
"NF1",0.123236937612301,-0.163498183230288,0.011742742586328,8.78830287316877,3.15682388458217,0.0306139366624097
"NF2",-0.124198647188703,-0.168043774809647,-0.0459229549335328,8.7730355283625,0.218831528347446,0.883070071449222
"NFASC",-0.277310021111858,0.313607320828426,0.0732661334031882,8.76249726074054,2.49845605180423,0.0681615271581048
"NFAT5",0.179996709997982,0.666491493434111,0.0220610618254346,8.67620612172093,1.4956014889591,0.229880671823535
"NFATC2IP",0.132326436636551,0.0244880386519841,0.0520749697461791,8.71505243700965,0.18517423706381,0.905973688297413
"NFE2L1",-0.0805425574437468,-0.370866146118657,-0.45577701553404,8.99793308443665,4.77553553635334,0.00374114010672215
"NFE2L2",0.0249888777671474,0.19606584154429,0.467337822912426,8.71070043517276,0.649748451504968,0.586730536059401
"NFE2L3",-0.335044469486284,-0.563628821149271,0.135424010888539,8.66476440989866,0.116191381611712,0.950049561906987
"NFIA",0.80501896565137,-0.831100826075214,0.248927393550513,9.00926670358428,3.47642618110169,0.0189488112542522
"NFIB",1.20279454142734,1.10930722001643,-0.377107790062949,9.06469254525162,6.59320472672148,0.000472256354548091
"NFIC",0.613023411757885,0.0503313973783409,0.0490986130507181,8.71845493767242,3.3269606689628,0.0252352861675244
"NFIL3",-0.245623229657747,-0.480981861540548,-0.440464478331122,8.74826945950266,2.45225901442998,0.0712059731097745
"NFIX",0.855023323086398,0.614361109591825,0.266389041244119,9.11545606876897,1.39309050843929,0.25293994317901
"NFKBIA",0.355610381905169,-0.139083715105772,0.216914015445059,8.80254800225733,1.3794921988078,0.254590978768862
"NFKBIE",0.0702994717235989,0.0931189716408119,-0.340550231668493,8.76272235044671,1.43145711392106,0.240732688024704
"NFKBIL1",-0.0179137832680281,0.101352837581757,-0.112079901115528,8.6968409253772,0.327452593342877,0.805494348317661
"NFRKB",0.0581072985986289,0.43432317431117,0.021805297332626,8.6765714394491,0.428594388123681,0.733632465432957
"NFS1",-0.11532655818261,0.185695233167687,-0.0813472829606713,8.7255935841539,0.398856823872269,0.754310785849447
"NFU1",0.486108290502449,0.396316083195749,-0.167635554810751,8.83300977723273,5.6097677905447,0.00140673339548829
"NFX1",0.336832856577008,-0.137508281438308,-0.387290359657612,8.74105784945489,4.4602423599969,0.00669888299880732
"NFYA",-0.116059884890398,-0.331855410169624,-0.140373819333138,8.66506636374911,0.37635395936608,0.770605849215893
"NFYB",-0.255821739127849,0.261462648161903,0.217754534942611,8.86103289171022,2.29546763002875,0.0831394256343615
"NFYC",-0.215998614006823,-0.0173366797656542,-0.380377116138543,8.91908505991256,3.3466955871296,0.0221343877420437
"NGB",-0.356235937468559,-1.88520782207709,-0.5958844198568,8.74469779538704,0.013746128229553,0.997767147654977
"NGDN",0.061855330669204,0.357625605301213,0.0400799653232476,8.7480955990749,0.748021339917919,0.527207391485727
"NGEF",-0.403853254937626,-0.0566048156553585,-1.80278156185562,9.29336992786852,16.9415734619322,7.92587404303277e-09
"NGLY1",0.00343351929655474,0.294971175231565,-0.0735007026604277,8.70186572256692,0.463704184460056,0.70882937035143
"NGRN",0.161506439031381,-0.286527313502399,-0.0249927126823678,9.28302013954711,1.36704552152146,0.257821329931477
